DatasetKey	Source	QTLType	TissueORCellType	SuSiEPIPFilter	PvalFilter	GeneSel	FilePath
GTEx.kidney_(cortex)	GTEx_eqtl_catalog	eQTL	kidney_(cortex)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/kidney_(cortex).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD16+_monocyte	Onek1k_eqtl_catalog	eQTL	CD16+_monocyte	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD16+_monocyte.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.NK_cell	Onek1k_eqtl_catalog	eQTL	NK_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/NK_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.dendritic_cell	Onek1k_eqtl_catalog	eQTL	dendritic_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/dendritic_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD4+_CTL_cell	Onek1k_eqtl_catalog	eQTL	CD4+_CTL_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD4+_CTL_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD4+_TCM_cell	Onek1k_eqtl_catalog	eQTL	CD4+_TCM_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD4+_TCM_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD4+_T_cell	Onek1k_eqtl_catalog	eQTL	CD4+_T_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD4+_T_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD8+_T_cell	Onek1k_eqtl_catalog	eQTL	CD8+_T_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD8+_T_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.hematopoietic_precursor_cell	Onek1k_eqtl_catalog	eQTL	hematopoietic_precursor_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/hematopoietic_precursor_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.monocyte	Onek1k_eqtl_catalog	eQTL	monocyte	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/monocyte.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.memory_B_cell	Onek1k_eqtl_catalog	eQTL	memory_B_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/memory_B_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.B_cell	Onek1k_eqtl_catalog	eQTL	B_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/B_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD4+_TEM_cell	Onek1k_eqtl_catalog	eQTL	CD4+_TEM_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD4+_TEM_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.gdT_cell	Onek1k_eqtl_catalog	eQTL	gdT_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/gdT_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD56+_NK_cell	Onek1k_eqtl_catalog	eQTL	CD56+_NK_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD56+_NK_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.plasmablast	Onek1k_eqtl_catalog	eQTL	plasmablast	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/plasmablast.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.MAIT_cell	Onek1k_eqtl_catalog	eQTL	MAIT_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/MAIT_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.Treg_memory	Onek1k_eqtl_catalog	eQTL	Treg_memory	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/Treg_memory.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.plasmacytoid_dendritic_cell	Onek1k_eqtl_catalog	eQTL	plasmacytoid_dendritic_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/plasmacytoid_dendritic_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD8+_TEM_cell	Onek1k_eqtl_catalog	eQTL	CD8+_TEM_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD8+_TEM_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.platelet	Onek1k_eqtl_catalog	eQTL	platelet	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/platelet.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
Onek1k.CD8+_TCM_cell	Onek1k_eqtl_catalog	eQTL	CD8+_TCM_cell	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/Onek1k_eQTL_catalog_borzoi_region/CD8+_TCM_cell.BorzoiGeneRegion.hg38.Onek1k_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
