DatasetKey	Source	QTLType	TissueORCellType	SuSiEPIPFilter	PvalFilter	GeneSel	FilePath
GTEx.Brain_Hippocampus.all_gene	GTEx	eQTL	Brain_Hippocampus	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Hippocampus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Hippocampus.protein_coding	GTEx	eQTL	Brain_Hippocampus	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Hippocampus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Hypothalamus.all_gene	GTEx	eQTL	Brain_Hypothalamus	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Hypothalamus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Hypothalamus.protein_coding	GTEx	eQTL	Brain_Hypothalamus	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Hypothalamus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Nucleus_accumbens_basal_ganglia.all_gene	GTEx	eQTL	Brain_Nucleus_accumbens_basal_ganglia	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Nucleus_accumbens_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Nucleus_accumbens_basal_ganglia.protein_coding	GTEx	eQTL	Brain_Nucleus_accumbens_basal_ganglia	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Nucleus_accumbens_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Putamen_basal_ganglia.all_gene	GTEx	eQTL	Brain_Putamen_basal_ganglia	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Putamen_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Putamen_basal_ganglia.protein_coding	GTEx	eQTL	Brain_Putamen_basal_ganglia	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Putamen_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Spinal_cord_cervical_c-1.all_gene	GTEx	eQTL	Brain_Spinal_cord_cervical_c-1	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Spinal_cord_cervical_c-1.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Spinal_cord_cervical_c-1.protein_coding	GTEx	eQTL	Brain_Spinal_cord_cervical_c-1	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Spinal_cord_cervical_c-1.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Substantia_nigra.all_gene	GTEx	eQTL	Brain_Substantia_nigra	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Substantia_nigra.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Substantia_nigra.protein_coding	GTEx	eQTL	Brain_Substantia_nigra	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Substantia_nigra.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Breast_Mammary_Tissue.all_gene	GTEx	eQTL	Breast_Mammary_Tissue	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Breast_Mammary_Tissue.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Breast_Mammary_Tissue.protein_coding	GTEx	eQTL	Breast_Mammary_Tissue	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Breast_Mammary_Tissue.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
